Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Miley Cyrus ,Flowers,3,1,(x3),104380337,-10776559.0,315569857
2,=,Bizarrap ,"Shakira: Bzrp Music Sessions, Vol. 53",4,2,(x3),57266099,-5604306.0,215176808
3,=,SZA ,Kill Bill,8,1,(x2),48323136,-6454965.0,366380144
4,=,Metro Boomin ,Creepin',9,2,(x1),32977937,-3468600.0,289279786
5,=,Sam Smith ,Unholy,19,1,(x7),29773655,-1689745.0,765374276
6,=,Harry Styles ,As It Was,44,1,(x11),28536635,-981393.0,1833137930
7,=,David Guetta ,I'm Good (Blue),23,2,(x4),26660733,-200449.0,649168625
8,=,Manuel Turizo ,La Bachata,31,4,,25530997,-448881.0,772964333
9,+2,Rema ,Calm Down,23,9,,25338316,585397.0,380809345
10,-1,Taylor Swift ,Anti,15,1,(x3),24695314,-735001.0,533463450
11,+4,Yandel ,Yandel 150,4,11,,24659421,3117109.0,78759997
12,=,RAYE ,Escapism.,10,12,,24516871,19292.0,181733888
13,-3,Arcángel ,La Jumpa,9,8,,22295511,-2515060.0,221181506
14,+2,d4vd ,Here With Me,14,14,,21160771,23199.0,206646934
15,-2,Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",30,1,(x9),20930613,-956859.0,982239311
16,-2,Miguel ,Sure Thing,8,14,,20602970,-1193367.0,118459463
17,+4,The Weeknd ,Die For You,55,17,,20394552,640437.0,599570825
18,+2,Ozuna ,Hey Mor,16,14,,20040317,-344613.0,289642091
19,-1,NewJeans ,Ditto,7,11,,19987200,-645265.0,131038158
20,-1,JVKE ,golden hour,23,14,,19883587,-620866.0,344127660
21,+3,NewJeans ,OMG,5,21,,19315679,880229.0,80284220
22,=,Tom Odell ,Another Love,95,15,,18690236,-963289.0,1019379455
23,=,OneRepublic ,I Ain't Worried,35,7,,18621189,-963234.0,682494388
24,+7,Meghan Trainor ,Made You Look,15,8,,17820887,834543.0,272204329
25,+3,Drake ,Rich Flex,13,2,(x1),16756372,-686094.0,317553673
26,+4,Arctic Monkeys ,I Wanna Be Yours,30,26,,16578963,-716192.0,382836462
27,+2,Eminem ,Mockingbird,16,24,,16527425,-793280.0,247242927
28,+9,Stephen Sanchez ,Until I Found You,9,10,,16428429,1404885.0,149802159
29,-2,Fuerza Regida ,Bebe Dame,5,20,,16351124,-1195031.0,78978539
30,-5,Central Cee ,LET GO,7,19,,15398631,-2473591.0,129251460
31,+2,Oliver Tree ,Miss You,17,11,,15389711,-992125.0,302243701
32,NEW,The Kid LAROI ,Love Again,1,32,,15382629,,15382629
33,+13,Feid ,Feliz Cumpleaños Ferxxo,24,33,,15290525,924851.0,292663391
34,-8,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],9,15,,15170852,-2565371.0,144911832
35,+3,Imagine Dragons ,Bones,47,26,,15133066,151890.0,517127265
36,-2,Bad Bunny ,Me Porto Bonito,39,2,(x1),15091084,-479557.0,1128771408
37,+27,The Kid LAROI ,Stay,82,1,(x12),14950537,2622825.0,2284802434
38,-6,Quevedo ,Punto G,13,32,,14770661,-1867296.0,146588086
39,+10,The Weeknd ,Starboy,136,1,(x6),14702254,516332.0,1396156779
40,-4,d4vd ,Romantic Homicide,22,17,,14676699,-661678.0,332235922
41,+6,Natanael Cano ,AMG,4,41,,14555443,275418.0,49218400
42,-7,Rosa Linn ,SNAP,30,16,,14440084,-1006957.0,460554038
43,-3,Chris Brown ,Under The Influence,28,6,,14313756,-509109.0,549371923
44,+7,SZA ,Snooze,6,44,,14286050,377189.0,72039341
45,-3,The Neighbourhood ,Sweater Weather,152,19,,14157540,-478062.0,1386883528
46,NEW,ROSALÍA ,LLYLM,1,46,,14139664,,14139664
47,+7,Lil Uzi Vert ,Just Wanna Rock,15,42,,14092469,798534.0,183576856
48,-7,Bad Bunny ,Tití Me Preguntó,39,4,,14087272,-605108.0,1018722814
49,+3,Beyoncé ,CUFF IT,24,13,,14033531,166448.0,344176310
50,-5,Steve Lacy ,Bad Habit,30,10,,14020769,-364929.0,564364531
51,-12,Ñengo Flow ,Gato de Noche,6,25,,13975842,-862639.0,101222608
52,+17,Oscar Maydon ,Fin de Semana,3,52,,13899481,2617885.0,36551091
53,NEW,Peso Pluma ,PRC,1,53,,13710571,,13710571
54,-4,ROSALÍA ,DESPECHÁ,27,5,,13539773,-632422.0,559693706
55,-2,Marília Mendonça ,Leão,5,48,,13336175,-143082.0,60422184
56,-13,Carin Leon ,Que Vuelvas,5,36,,13334181,-1268853.0,64058197
57,-1,Tiësto ,10:35,7,56,,13282967,154052.0,71868965
58,NEW,Sam Smith ,I’m Not Here To Make Friends,1,58,,12668884,,12668884
59,+1,Feid ,CHORRITO PA LAS ANIMAS,6,59,,12523809,-27091.0,58975063
60,-1,King ,Maan Meri Jaan,11,40,,12514269,-233153.0,136720402
61,-6,Glass Animals ,Heat Waves,110,1,(x10),12380693,-749939.0,2149026063
62,-1,The Weeknd ,Blinding Lights,166,1,(x13),12308055,-237613.0,3328592855
63,-46,Sabrina Carpenter ,Nonsense,3,17,,12182578,-8601920.0,47650035
64,-16,Shakira ,Monotonía,15,21,,12169865,-2019295.0,220457837
